;host_response_time;host_response_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
183;within an hour;100%;f;7.0;t;Copacabana;Condominium;Entire home/apt;4;2.5;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}";$201.00;$0.00;$137.00;1;$51.00;7;21;93.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;strict;9;2019
184;within an hour;100%;t;4.0;t;Ipanema;Loft;Entire home/apt;2;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Outlet covers"",""High chair"",""Stair gates"",""Window guards"",""Table corner guards"",""Fireplace guards"",""Babysitter recommendations"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Host greets you""}";$92.00;$699.00;$155.00;2;$94.00;1;284;94.0;9.0;9.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;9;2019
185;within an hour;100%;f;2.0;t;Leblon;Apartment;Private room;2;1.0;1.0;1.0;"{TV,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$249.00;$0.00;$100.00;1;$50.00;2;7;97.0;9.0;10.0;10.0;9.0;10.0;9.0;t;f;moderate;9;2019
186;within an hour;100%;f;1.0;t;Flamengo;Apartment;Entire home/apt;6;1.5;2.0;2.0;"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Gym,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}";$208.00;;$68.00;2;$0.00;2;100;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;moderate;9;2019
187;within a day;57%;f;9.0;t;Copacabana;Apartment;Entire home/apt;7;2.5;3.0;5.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}";$649.00;$2,000.00;$150.00;4;$50.00;5;0;;;;;;;;f;f;strict;9;2019
188;within a few hours;82%;f;54.0;t;Leblon;Apartment;Entire home/apt;7;2.5;2.0;6.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$297.00;$1,000.00;$180.00;3;$35.00;3;79;93.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
189;within a day;100%;f;2.0;f;Leblon;Apartment;Entire home/apt;3;1.0;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$219.00;;$150.00;3;$0.00;2;35;83.0;8.0;8.0;9.0;9.0;10.0;8.0;t;f;strict;9;2019
190;within an hour;100%;f;1.0;f;Vidigal;House;Private room;2;1.0;1.0;1.0;"{Internet,Wifi,Pool,""Smoking allowed"",""Pets live on this property"",Dog(s),Shampoo,""24-hour check-in"",Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$140.00;$350.00;$100.00;1;$0.00;1;20;94.0;10.0;9.0;10.0;9.0;9.0;9.0;f;f;strict;9;2019
191;within an hour;100%;t;5.0;f;Copacabana;Apartment;Entire home/apt;2;;1.0;1.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom""}";$89.00;$407.00;$80.00;1;$0.00;2;75;89.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
192;within an hour;100%;f;3.0;t;Jacarepaguá;Serviced apartment;Entire home/apt;2;1.0;1.0;1.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Luggage dropoff allowed"",""Long term stays allowed""}";$150.00;;$70.00;2;$0.00;2;18;94.0;10.0;10.0;10.0;10.0;9.0;9.0;t;f;strict;9;2019
